# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.02),Noisy fluxes C (sigma=0.03),Noisy fluxes D (sigma=0.05),Noisy fluxes E (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.3)
0,0.7620923960028009,0.7714254939245369,0.7882105234079695,0.7647920536531456,0.7283217883374487,0.7979650947923534,0.7714254939245369,0.7882105234079695,0.7647920536531456,0.7283217883374487,0.6835652968311091,0.7714254939245369,0.7882105234079695,0.7647920536531456,0.7283217883374487,0.4547657009086205
0.0034788189987163,0.7622823352349362,0.7732930868230806,0.7461298462395414,0.7606387667585645,0.8021192489259902,0.8195349956237518,0.7732930868230806,0.7461298462395414,0.7606387667585645,0.8021192489259902,0.8195349956237518,0.7732930868230806,0.7461298462395414,0.7606387667585645,0.8021192489259902,0.8195349956237518
0.0069576379974326,0.7629555522544218,0.7644047501230242,0.7298151561926479,0.7285714851148585,0.8191677664027368,0.7869332177835165,0.7315570104382224,0.7298151561926479,0.7285714851148585,0.8191677664027368,0.7869332177835165,0.6658615310686188,0.7298151561926479,0.7285714851148585,0.8191677664027368,0.7869332177835165
0.01043645699614891,0.7638406030983917,0.7458243569252654,0.800915959740266,0.7496101268357318,0.8152378171863802,0.8014770027465408,0.7458243569252654,0.800915959740266,0.7496101268357318,0.8152378171863802,0.6161255407114465,0.7458243569252654,0.800915959740266,0.7496101268357318,0.8152378171863802,0.24542261664125808
0.01391527599486521,0.7653418595133447,0.7662610703787831,0.7746083554975928,0.7488730876024337,0.6883652635574301,0.8659377637887569,0.7662610703787831,0.7746083554975928,0.7488730876024337,0.6824400496224393,0.8659377637887569,0.7662610703787831,0.7746083554975928,0.7488730876024337,0.6705896217524576,0.8659377637887569
0.01739409499358151,0.7670287795338672,0.7671638599928741,0.7686499794212021,0.7545572712699772,0.7387583968160336,0.8293961938132249,0.7671638599928741,0.7686499794212021,0.7545572712699772,0.7387583968160336,0.8293961938132249,0.7671638599928741,0.7686499794212021,0.7545572712699772,0.7387583968160336,0.8293961938132249
0.02087291399229782,0.7691976237155902,0.7746226110153333,0.7767841670355168,0.81158476493411,0.8160401125592716,0.8743926241634932,0.8960048699004026,0.7979220817300872,0.81158476493411,0.8160401125592716,0.8743926241634932,1.1387693876705411,0.8401979111192279,0.81158476493411,0.8160401125592716,0.8743926241634932
0.02435173299101412,0.7717560608284463,0.7619387463741987,0.7435271969386725,0.7652542453776187,0.7754998805412266,0.6595320918826785,0.7619387463741987,0.7435271969386725,0.7652542453776187,0.7754998805412266,0.6595320918826785,0.7619387463741987,0.7435271969386725,0.7652542453776187,0.7754998805412266,0.6595320918826785
0.02783055198973042,0.7746426916955467,0.775846601993848,0.7983408662649566,0.7509525905211465,0.8114083621907691,0.8347812650413522,0.775846601993848,0.7983408662649566,0.7509525905211465,0.8114083621907691,0.8347812650413522,0.775846601993848,0.7983408662649566,0.7509525905211465,0.8114083621907691,0.8347812650413522
0.03130937098844673,0.7777631161160845,0.7714169241407272,0.7448669617233419,0.788191682345658,0.857808196140757,0.6660622918422704,0.7714169241407272,0.7448669617233419,0.788191682345658,0.857808196140757,0.6660622918422704,0.7714169241407272,0.7448669617233419,0.788191682345658,0.857808196140757,0.6660622918422704
0.03478818998716303,0.781414641353664,0.7858244934712483,0.783019362552045,0.7852190289291634,0.8079820541403387,0.7215858175419271,0.7858244934712483,0.783019362552045,0.7852190289291634,0.8079820541403387,0.7215858175419271,0.7858244934712483,0.783019362552045,0.7852190289291634,0.8079820541403387,0.7215858175419271
0.03826700898587933,0.7852959614369517,0.7898394940706487,0.7782393028377022,0.7901060429245759,0.7763616507327832,0.7034169645165436,0.7898394940706487,0.7782393028377022,0.7901060429245759,0.7763616507327832,0.7034169645165436,0.7898394940706487,0.7782393028377022,0.7901060429245759,0.7763616507327832,0.7034169645165436
0.04174582798459564,0.7894739460302888,0.7945574403836289,0.815299834282116,0.8209782587646524,0.7646998755811059,0.806087887950352,0.7945574403836289,0.815299834282116,0.8209782587646524,0.7646998755811059,0.806087887950352,0.7945574403836289,0.815299834282116,0.8209782587646524,0.7646998755811059,0.806087887950352
