# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.03),Noisy fluxes C (sigma=0.05),Noisy fluxes D (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.3)
0,0.752295664135967,0.7452555010237317,0.7927229444420242,0.7780701199983306,0.7893957058820235,0.7452555010237317,0.7927229444420242,0.7780701199983306,0.7893957058820235,0.7452555010237317,0.7927229444420242,0.7780701199983306,0.7893957058820235
0.00348230912476722,0.7528086188735292,0.7507928906117977,0.7656396687333599,0.7109016724332894,0.8557247443830679,0.7152149495445955,0.7656396687333599,0.7109016724332894,0.8557247443830679,0.6440590674101913,0.7656396687333599,0.7109016724332894,0.8557247443830679
0.00696461824953445,0.7541374019603497,0.7549063228961626,0.7681038559907406,0.6526539149107935,0.7679499164312337,0.7549063228961626,0.7681038559907406,0.6275602270681514,0.7679499164312337,0.7549063228961626,0.7681038559907406,0.5773728513828673,0.7679499164312337
0.01044692737430168,0.7565925270514527,0.7518539506636011,0.7214961373932165,0.7480792671471607,0.6319435488231306,0.7518539506636011,0.7214961373932165,0.7480792671471607,0.6319435488231306,0.7518539506636011,0.7214961373932165,0.7480792671471607,0.6319435488231306
0.0139292364990689,0.7596207247101704,0.758580489570272,0.7722407671235088,0.7704327457183139,0.7384233358362434,0.758580489570272,0.7722407671235088,0.7704327457183139,0.5772297001458805,0.758580489570272,0.7722407671235088,0.7704327457183139,0.25484242876515456
0.01741154562383613,0.76367279975467806,0.768938553060949,0.7336673706795084,0.7005618354846364,0.7403219029023715,0.768938553060949,0.7336673706795084,0.7005618354846364,0.803794766308416,0.768938553060949,0.7336673706795084,0.7005618354846364,0.9307404931205048
0.02089385474860335,0.7684524267037024,0.7658527824333128,0.7473672232226967,0.7356939193985438,0.7211370218089361,0.7658527824333128,0.7473672232226967,0.7356939193985438,0.7211370218089361,0.7658527824333128,0.7473672232226967,0.7356939193985438,0.7211370218089361
0.02437616387337058,0.7740573155307228,0.7718971209350661,0.8002700808370493,0.7421437261369964,0.7211415263014647,0.7718971209350661,0.8002700808370493,0.7299273662183018,0.9156752340673474,0.7718971209350661,0.8002700808370493,0.7054946463809124,1.3047426495991128
0.0278584729981378,0.7802933840481733,0.7794603347907685,0.7174010048214343,0.7920848890304031,0.7677890174685822,0.7794603347907685,0.7174010048214343,0.7920848890304031,0.7677890174685822,0.7794603347907685,0.7174010048214343,0.7920848890304031,0.7677890174685822
0.03134078212290503,0.7871479434211759,0.7808075082992098,0.8064111984949505,0.809429588012731,0.7438496736212072,0.7808075082992098,0.8064111984949505,0.809429588012731,0.7438496736212072,0.7808075082992098,0.8064111984949505,0.809429588012731,0.7438496736212072
0.03482309124767226,0.7945912401210189,0.7794867828242936,0.8218714697369067,0.7913597331806737,0.7336907595057268,0.7794867828242936,0.8218714697369067,0.7913597331806737,0.7336907595057268,0.7794867828242936,0.8218714697369067,0.7913597331806737,0.7336907595057268
0.03830540037243948,0.8027804545845115,0.8114361300629033,0.8130292166701265,0.8174506343621578,0.8738976539388035,0.8114361300629033,0.8130292166701265,0.8174506343621578,0.8738976539388035,0.8114361300629033,0.8130292166701265,0.8174506343621578,0.8738976539388035
0.04178770949720671,0.8113327980549707,0.7908685005134675,0.8306517806613221,0.7853952157704556,0.9292903148023552,0.7908685005134675,0.8306517806613221,0.7853952157704556,0.9292903148023552,0.7908685005134675,0.8306517806613221,0.7853952157704556,0.9292903148023552
