Times,Fluxes
0.0,0.7620923960028009
0.04234375,0.7901406321901258
0.0846875,0.8598977997856436
0.12703124999999998,0.9414857031493731
0.169375,1.0083187984699504
0.21171875,1.0321785438210804
0.25406249999999997,1.0389691171825626
0.29640625,1.046559953314002
0.33875,1.0543118239526104
0.38109375,1.0624584058208455
0.4234375,1.0698646868797617
0.46578125,1.0771446634531525
0.5081249999999999,1.0834008381623743
0.55046875,1.088453896157486
0.5928125,1.0922882744674407
0.63515625,1.0947443164608712
0.6775,1.0955894484062536
0.71984375,1.0949580153911824
0.7621875,1.0931182403796547
0.80453125,1.0901122853487102
0.846875,1.0859624954481042
0.88921875,1.081265922314081
0.9315625,1.0760006966782667
0.97390625,1.0704053125038302
1.0162499999999999,1.0648945927307591
1.05859375,1.0596018162766037
1.1009375,1.0545057212079898
1.14328125,1.0502851055460454
1.185625,1.0420987493865757
1.22796875,1.0217155866768537
1.2703125,0.9974388362492738
1.31265625,0.9782795076670503
1.355,0.9709445421348821
1.3973437499999999,0.9779572244288014
1.4396875,0.9970965514713525
1.48203125,1.0214411820310387
1.524375,1.0418095220280106
1.56671875,1.0502657809229745
1.6090625,1.0543982357744521
1.65140625,1.059485774311278
1.69375,1.0647798793571914
1.73609375,1.0702732434052804
1.7784375,1.0757765366662377
1.82078125,1.0811613768150754
1.863125,1.0860133369398908
1.90546875,1.0900035042103655
1.9478125,1.0931467823076961
1.99015625,1.095043439210338
2.0324999999999998,1.0955436629708581
2.07484375,1.094774932957193
2.1171875,1.0923010181872632
2.15953125,1.0885105409642046
2.201875,1.0834848980216127
2.24421875,1.0770981407011027
2.2865625,1.0700608174446744
2.32890625,1.0624827638736878
2.37125,1.0543382248754836
2.41359375,1.0464428348928834
2.4559375,1.0389436130291325
2.49828125,1.032078569144338
2.540625,1.0082448011288487
2.58296875,0.941468660242339
2.6253125,0.8598226291730982
2.66765625,0.7901950725873794
2.71,0.7620923960028009
